country,transactionId,transactionRevenue,v2ProductName,v2ProductCategory,productPrice,productQuantity
United States,ORD20160801443,217.92,PaperMate Ink Joy Retractable Pen,(not set),1.25,12
United States,ORD20160801443,217.92,Google Women's Scoop Neck Tee White,(not set),19.99,1
United States,ORD20160801443,217.92,Latitudes Foldaway Shopper,(not set),4.99,2
United States,ORD20160801443,217.92,Recycled Mouse Pad,(not set),1.5,8
United States,ORD20160801443,217.92,Red Spiral Google Notebook,(not set),9.99,2
United States,ORD20160801443,217.92,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),16.99,1
United States,ORD20160801443,217.92,Deluge Waterproof Backpack,(not set),99.99,1
United States,ORD20160801443,217.92,Google Women's Scoop Neck Tee White,(not set),19.99,1
United States,ORD20160801465,12.5,Google Sunglasses,(not set),3.5,1
United States,ORD20160801467,37.78,Google Men's Vintage Tank,(not set),16.79,1
United States,ORD20160801467,37.78,Google 3/4 Sleeve Raglan Henley Grey,(not set),19.99,1
United States,ORD20160801474,63.99,Mistral Rucksack,(not set),55.99,1
United States,ORD20160801510,2213.38,Engraved Ceramic Google Mug,(not set),7.19,23
United States,ORD20160801510,2213.38,Android Rise 14 oz Mug,(not set),10.39,23
United States,ORD20160801510,2213.38,26 oz Double Wall Insulated Bottle,(not set),19.99,26
United States,ORD20160801510,2213.38,Android 24 oz Contigo Addison,(not set),19.19,30
United States,ORD20160801510,2213.38,Android 24 oz Contigo Addison,(not set),19.19,30
United States,ORD20160801510,2213.38,Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),13.59,10
United States,ORD20160801513,32.19,Google Baby Essentials Set,(not set),27.19,1
United States,ORD20160801514,45.96,Android Toddler Short Sleeve T-shirt Pink,(not set),13.59,1
United States,ORD20160801514,45.96,Google Toddler Short Sleeve T-shirt Grey,(not set),13.59,1
United States,ORD20160801514,45.96,24 oz USA Made Aluminum Bottle,(not set),7.99,1
United States,ORD20160801514,45.96,Blue Metallic Textured Spiral Notebook Set,(not set),4.79,1
United States,ORD20160801511,29.48,Red Spiral Google Notebook,(not set),9.99,1
United States,ORD20160801511,29.48,Electronics Accessory Pouch,(not set),4.99,1
United States,ORD20160801511,29.48,Google Sunglasses,(not set),3.5,1
United States,ORD20160801511,29.48,Google Sunglasses,(not set),3.5,1
United States,ORD20160801511,29.48,Recycled Mouse Pad,(not set),1.5,1
United States,ORD201608021346,34.19,Android Baby Esssentials Set,(not set),27.19,1
United States,ORD201608021384,38.99,Google Infant Zip Hood Pink,(not set),37.99,1
United States,ORD201608021390,35.39,Google Infant Zip Hood Pink,(not set),30.39,1
United States,ORD201608021395,482.4,22 oz Mini Mountain Bottle,(not set),2.99,160
United States,ORD201608021394,47.58,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD201608021394,47.58,Google Heavyweight Long Sleeve Hero Tee Navy,(not set),31.99,1
United States,ORD201608021393,18.99,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),16.99,1
Thailand,ORD201608021419,27.33,Android Rise 14 oz Mug,(not set),10.39,1
Thailand,ORD201608021419,27.33,Chevron Shopper,(not set),2.8,1
Thailand,ORD201608021419,27.33,Windup Android,(not set),3.19,1
Thailand,ORD201608021419,27.33,Badge Holder,(not set),1.59,5
United States,ORD201608021422,97.3,Blue Metallic Textured Spiral Notebook Set,(not set),4.79,5
United States,ORD201608021422,97.3,Quatro Retractable Pen,(not set),2.39,5
United States,ORD201608021422,97.3,7&quot; Dog Frisbee,(not set),1.2,5
United States,ORD201608021422,97.3,Google Sunglasses,(not set),2.8,12
United States,ORD201608021422,97.3,Google Sunglasses,(not set),2.8,2
United States,ORD201608021422,97.3,Google Sunglasses,(not set),2.8,2
United States,ORD201608021422,97.3,Google Sunglasses,(not set),2.8,2
United States,ORD201608021427,55.74,Latitudes Foldaway Shopper,(not set),3.99,2
United States,ORD201608021427,55.74,Rocket Flashlight,(not set),3.99,4
United States,ORD201608021427,55.74,Google Sunglasses,(not set),2.8,2
United States,ORD201608021427,55.74,Google Sunglasses,(not set),2.8,2
United States,ORD201608021427,55.74,Google Sunglasses,(not set),2.8,2
United States,ORD201608021427,55.74,Ballpoint LED Light Pen,(not set),2.0,5
United States,ORD201608021434,70.77,Google Toddler Short Sleeve T-shirt Yellow,(not set),13.59,1
United States,ORD201608021434,70.77,Google Infant Zip Hood Pink,(not set),30.39,1
United States,ORD201608021434,70.77,YouTube Trucker Hat,(not set),24.79,1
United States,ORD201608021438,115.75,Mistral Rucksack,(not set),55.99,1
United States,ORD201608021438,115.75,Google Men's Skater Tee Grey,(not set),15.99,1
United States,ORD201608021438,115.75,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD201608021438,115.75,Google Men's Vintage Badge Tee White,(not set),13.59,1
United States,ORD201608021438,115.75,Google Men's Vintage Badge Tee Black,(not set),13.59,1
United States,ORD201608021448,108.13,Engraved Ceramic Google Mug,(not set),7.19,2
United States,ORD201608021448,108.13,Ballpoint LED Light Pen,(not set),2.0,5
United States,ORD201608021448,108.13,Google Sunglasses,(not set),2.8,1
United States,ORD201608021448,108.13,Google Sunglasses,(not set),2.8,1
United States,ORD201608021448,108.13,Google Sunglasses,(not set),2.8,1
United States,ORD201608021448,108.13,Google Sunglasses,(not set),2.8,1
United States,ORD201608021448,108.13,Google Men's Vintage Badge Tee Green,(not set),13.59,1
United States,ORD201608021448,108.13,Google Women's Short Sleeve Shirt Blue,(not set),15.19,1
United States,ORD201608021448,108.13,Android Men's Vintage Tee,(not set),13.59,3
United States,ORD201608021450,53.17,Android Rise 14 oz Mug,(not set),10.39,1
United States,ORD201608021450,53.17,Google Long Sleeve Raglan Badge Henley Ocean Blue,(not set),16.79,1
United States,ORD201608021450,53.17,Android Men's Vintage Henley,(not set),23.99,1
United States,ORD201608021458,28.17,Leatherette Journal,(not set),8.79,2
United States,ORD201608021458,28.17,Badge Holder,(not set),1.59,1
United States,ORD201608021458,28.17,SPF-15 Lip Balm,(not set),2.0,3
United States,ORD201608021462,52.76,22 oz Mini Mountain Bottle,(not set),2.39,4
United States,ORD201608021462,52.76,22 oz Mini Mountain Bottle,(not set),2.39,4
United States,ORD201608021462,52.76,Pop-a-Point Crayon,(not set),1.59,10
United States,ORD201608021462,52.76,7&quot; Dog Frisbee,(not set),1.2,3
United States,ORD201608021462,52.76,Koozie Can Kooler,(not set),1.59,6
United States,ORD201608021462,52.76,7&quot; Dog Frisbee,(not set),1.2,3
United States,ORD201608021462,68.41,Badge Holder,(not set),1.59,10
United States,ORD201608021462,68.41,Eco-Aware Recycled Journal Combo,(not set),3.19,5
United States,ORD201608021462,68.41,Eco-Aware Large Recycled Journal Combo,(not set),3.19,4
United States,ORD201608021462,68.41,Recycled Mouse Pad,(not set),1.2,10
United States,ORD201608021462,68.41,7&quot; Dog Frisbee,(not set),1.2,6
United States,ORD201608021462,68.41,7&quot; Dog Frisbee,(not set),1.2,3
United States,ORD201608021276,90.9,Leatherette Journal,(not set),8.79,10
United States,ORD201608021336,41.98,Google Men's Vintage Badge Tee Black,(not set),16.99,1
United States,ORD201608021336,41.98,Google Men's Short Sleeve Performance Badge Tee Navy,(not set),21.99,1
United States,ORD201608041743,292.95,PaperMate Ink Joy Retractable Pen,(not set),1.0,25
United States,ORD201608041743,292.95,Quatro Retractable Pen,(not set),2.39,10
United States,ORD201608041743,292.95,24 oz YouTube Sergeant Stripe Bottle,(not set),6.39,10
United States,ORD201608041743,292.95,22 oz Mini Mountain Bottle,(not set),2.39,8
United States,ORD201608041743,292.95,22 oz Mini Mountain Bottle,(not set),2.39,8
United States,ORD201608041743,292.95,Blue Keeper Notebook Set with Flap,(not set),4.79,14
United States,ORD201608041743,292.95,Blue Metallic Textured Spiral Notebook Set,(not set),4.79,15
United States,ORD201608041861,22.59,Google Women's Short Sleeve V-Neck Tee Dark Grey,(not set),13.59,1
United States,ORD201608041913,8.5,Google Sunglasses,(not set),3.5,1
United States,ORD201608041925,6.2,Recycled Mouse Pad,(not set),1.2,1
United States,ORD201608041948,25.39,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD201608041948,25.39,Bic Digital Clic Stic Stylus Pen,(not set),1.2,4
United States,ORD201608041961,20.59,Google Men's Vintage Badge Tee Green,(not set),13.59,1
United States,ORD201608041962,15.59,Google Men's 100% Cotton Short Sleeve Hero Tee Red,(not set),13.59,1
United States,ORD201608042005,247.0,Colored Pencil Set,(not set),2.39,100
United States,ORD201608042111,32.78,Google Men's 100% Cotton Short Sleeve Hero Tee Red,(not set),13.59,1
United States,ORD201608042111,32.78,YouTube Men's Short Sleeve Hero Tee Charcoal,(not set),15.19,1
United States,ORD201608042114,14.97,Badge Holder,(not set),1.99,3
United States,ORD201608042133,28.19,Google Baby Essentials Set,(not set),27.19,1
United States,ORD201608042137,113.85,Latitudes Foldaway Shopper,(not set),4.99,8
United States,ORD201608042137,113.85,Red Spiral Google Notebook,(not set),9.99,7
United States,ORD201608042147,29.47,Keyboard DOT Sticker,(not set),1.5,1
United States,ORD201608042147,29.47,YouTube Custom Decals,(not set),1.99,1
United States,ORD201608042147,29.47,Android Sticker Sheet Ultra Removable,(not set),2.99,1
United States,ORD201608042147,29.47,YouTube Men's Vintage Tee,(not set),16.99,1
United States,ORD201608042148,67.38,Google Men's  Zip Hoodie,(not set),44.79,1
United States,ORD201608042148,67.38,YouTube Men's Vintage Tee,(not set),13.59,1
United States,ORD201608042159,42.78,Google Long Sleeve Raglan Badge Henley Ocean Blue,(not set),16.79,1
United States,ORD201608042159,42.78,Google 3/4 Sleeve Raglan Henley Grey,(not set),19.99,1
United States,ORD201608042178,96.7,7&quot; Dog Frisbee,(not set),1.2,5
United States,ORD201608042178,96.7,7&quot; Dog Frisbee,(not set),1.2,5
United States,ORD201608042178,96.7,Windup Android,(not set),3.19,10
United States,ORD201608042178,96.7,22 oz Mini Mountain Bottle,(not set),2.39,10
United States,ORD201608042178,96.7,22 oz Mini Mountain Bottle,(not set),2.39,10
Venezuela,ORD201608042181,209.96,Google Men's  Zip Hoodie,(not set),55.99,1
Venezuela,ORD201608042181,209.96,Google Men's Watershed Full Zip Hoodie Grey,(not set),109.99,1
Venezuela,ORD201608042181,209.96,Google Men's Short Sleeve Performance Badge Tee Navy,(not set),21.99,1
Venezuela,ORD201608042181,209.96,Google Men's Skater Tee Charcoal,(not set),19.99,1
United States,ORD201608051608,132.9,Android Rise 14 oz Mug,(not set),12.99,10
United States,ORD201608051672,41.99,YouTube Men's Long Sleeve Pullover Badge Tee Heather,(not set),36.99,1
United States,ORD201608051689,35.38,Google Youth Short Sleeve T-shirt Green,(not set),15.19,1
United States,ORD201608051689,35.38,Google Women's V-Neck Tee Charcoal,(not set),15.19,1
United States,ORD201608051717,82.95,Google Men's Short Sleeve Badge Tee Charcoal,(not set),15.19,1
United States,ORD201608051717,82.95,Google Men's Short Sleeve Badge Tee Charcoal,(not set),15.19,1
United States,ORD201608051717,82.95,Google Women's Short Sleeve Shirt Dark Grey,(not set),15.19,1
United States,ORD201608051717,82.95,Google Women's Short Sleeve Shirt Blue,(not set),15.19,1
United States,ORD201608051717,82.95,Google Women's Short Sleeve Shirt Red,(not set),15.19,1
United States,ORD201608051720,18.52,Galaxy Screen Cleaning Cloth,(not set),1.99,1
United States,ORD201608051720,18.52,Badge Holder,(not set),1.99,1
United States,ORD201608051720,18.52,Ballpoint LED Light Pen,(not set),2.5,1
United States,ORD201608051731,45.79,Google Women's Fleece Hoodie,(not set),44.79,1
United States,ORD201608051730,373.36,Red Shine 15 oz Mug,(not set),12.99,7
United States,ORD201608051730,373.36,Android Rise 14 oz Mug,(not set),12.99,7
United States,ORD201608051730,373.36,Blue Metallic Textured Spiral Notebook Set,(not set),5.99,14
United States,ORD201608051730,373.36,PaperMate Ink Joy Retractable Pen,(not set),1.25,14
United States,ORD201608051729,30.18,Android Toddler Short Sleeve T-shirt Pink,(not set),13.59,1
United States,ORD201608051729,30.18,Android Toddler Short Sleeve T-shirt Aqua,(not set),13.59,1
United States,ORD201608051736,62.87,Google Lunch Bag,(not set),13.99,1
United States,ORD201608051736,62.87,Sport Bag,(not set),4.99,2
United States,ORD201608051736,62.87,22 oz Mini Mountain Bottle,(not set),2.99,5
United States,ORD201608051736,62.87,22 oz Mini Mountain Bottle,(not set),2.99,5
United States,ORD201608051742,203.35,Android Rise 14 oz Mug,(not set),12.99,7
United States,ORD201608051742,203.35,Bic Intensity Clic Gel Pen,(not set),3.5,7
United States,ORD201608051742,203.35,Red Spiral Google Notebook,(not set),9.99,8
United States,ORD201608051751,70.36,YouTube Men's 3/4 Sleeve Henley,(not set),19.99,1
United States,ORD201608051751,70.36,Google Women's Hero V-Neck Tee White,(not set),13.59,1
United States,ORD201608051751,70.36,Google Women's V-Neck Tee Charcoal,(not set),15.19,1
United States,ORD201608051751,70.36,Google Women's Short Sleeve Performance Tee Navy,(not set),17.59,1
United States,ORD201608051757,37.77,Google Women's Short Sleeve V-Neck Tee Lavender,(not set),13.59,1
United States,ORD201608051757,37.77,Red Shine 15 oz Mug,(not set),10.39,1
United States,ORD201608051757,37.77,Leatherette Journal,(not set),8.79,1
Canada,ORD201608051761,65.69,YouTube Custom Decals,(not set),1.59,1
Canada,ORD201608051761,65.69,Badge Holder,(not set),1.59,6
Canada,ORD201608051761,65.69,Stadium Cups-Sets of 4,(not set),3.99,2
Canada,ORD201608051761,65.69,26 oz Double Wall Insulated Bottle,(not set),19.99,2
Canada,ORD201608051761,65.69,Recycled Mouse Pad,(not set),1.2,3
United States,ORD201608051771,28.94,Android Sticker Sheet Ultra Removable,(not set),2.39,1
United States,ORD201608051771,28.94,8 pc Android Sticker Sheet,(not set),1.59,1
United States,ORD201608051771,28.94,YouTube Custom Decals,(not set),1.59,1
United States,ORD201608051771,28.94,Collapsible Pet Bowl,(not set),3.99,3
United States,ORD201608051771,28.94,7&quot; Dog Frisbee,(not set),1.2,1
United States,ORD201608051771,28.94,7&quot; Dog Frisbee,(not set),1.2,1
United States,ORD201608051770,62.95,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD201608051770,62.95,Red Shine 15 oz Mug,(not set),10.39,1
United States,ORD201608051770,62.95,Google Laptop and Cell Phone Stickers,(not set),1.59,1
United States,ORD201608051770,62.95,Android Sticker Sheet Ultra Removable,(not set),2.39,1
United States,ORD201608051770,62.95,Google Heavyweight Long Sleeve Hero Tee Navy,(not set),31.99,1
United States,ORD201608051773,83.99,Deluge Waterproof Backpack,(not set),79.99,1
United States,ORD201608051776,71.22,Engraved Ceramic Google Mug,(not set),7.19,3
United States,ORD201608051776,71.22,Insulated Bottle,(not set),17.59,2
United States,ORD201608051775,29.19,Android Baby Esssentials Set,(not set),27.19,1
United States,ORD201608051777,35.49,Google Women's 1/4 Zip Performance Pullover Black,(not set),51.99,1
United States,ORD201608051783,152.09,Badge Holder,(not set),1.99,12
United States,ORD201608051783,152.09,1 oz Hand Sanitizer,(not set),1.99,12
United States,ORD201608051783,152.09,Google Laptop and Cell Phone Stickers,(not set),1.99,1
United States,ORD201608051783,152.09,Bic Digital Clic Stic Stylus Pen,(not set),1.5,15
United States,ORD201608051783,152.09,PaperMate Ink Joy Pen,(not set),1.99,15
United States,ORD201608051783,152.09,Blue Metallic Textured Spiral Notebook Set,(not set),5.99,5
United States,ORD201608051787,17.78,Android Men's Vintage Tee,(not set),13.59,1
United States,ORD201608051787,17.78,Windup Android,(not set),3.19,1
United States,ORD201608051788,192.44,26 oz Double Wall Insulated Bottle,(not set),19.99,1
United States,ORD201608051788,192.44,Google Men's Performance Full Zip Jacket Black,(not set),95.99,1
United States,ORD201608051788,192.44,Google Stylus Pen w/ LED Light,(not set),4.4,1
United States,ORD201608051788,192.44,Windup Android,(not set),3.19,1
United States,ORD201608051788,192.44,YouTube Men's Vintage Tee,(not set),13.59,1
United States,ORD201608051790,82.81,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),16.99,1
United States,ORD201608051790,82.81,Google Trucker Hat,(not set),28.99,1
United States,ORD201608051790,82.81,YouTube Men's Vintage Tee,(not set),16.99,1
United States,ORD201608051792,32.06,YouTube Men's Short Sleeve Hero Tee Black,(not set),16.99,1
United States,ORD201608051794,355.97,Mistral Rucksack,(not set),55.99,1
United States,ORD201608051794,355.97,Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Google Women's Hero V-Neck Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Google Women's Hero V-Neck Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Google Women's Hero V-Neck Tee White,(not set),13.59,2
United States,ORD201608051794,355.97,Compact Selfie Stick,(not set),7.19,10
United States,ORD201608051794,355.97,Chevron Shopper,(not set),2.8,20
United States,ORD201608051795,170.87,Google Youth Short Sleeve T-shirt Green,(not set),18.99,1
United States,ORD201608051795,170.87,Google Youth Short Sleeve T-shirt Royal Blue,(not set),18.99,1
United States,ORD201608051795,170.87,Google Women's V-Neck Tee Grey,(not set),18.99,1
United States,ORD201608051795,170.87,Sport Bag,(not set),4.99,3
United States,ORD201608051795,170.87,22 oz Mini Mountain Bottle,(not set),2.99,2
United States,ORD201608051795,170.87,Google Sunglasses,(not set),3.5,1
United States,ORD201608051795,170.87,Google Sunglasses,(not set),3.5,1
United States,ORD201608051795,170.87,Blue Metallic Textured Spiral Notebook Set,(not set),5.99,2
United States,ORD201608051795,170.87,Bic Digital Clic Stic Stylus Pen,(not set),1.5,8
United States,ORD201608051795,170.87,Google Men's Short Sleeve Performance Badge Tee Black,(not set),21.99,1
United States,ORD201608051795,170.87,Google Women's Scoop Neck Tee Black,(not set),19.99,1
United States,ORD201608051795,170.87,Google Men's Vintage Badge Tee White,(not set),16.99,1
United States,ORD201608051797,14.98,24 oz YouTube Sergeant Stripe Bottle,(not set),6.39,1
United States,ORD201608051797,14.98,Google Laptop and Cell Phone Stickers,(not set),1.59,1
United States,ORD201608051797,24.97,Compact Selfie Stick,(not set),7.19,1
United States,ORD201608051797,24.97,Recycled Mouse Pad,(not set),1.2,1
United States,ORD201608051797,24.97,24 oz USA Made Aluminum Bottle,(not set),7.99,1
United States,ORD201608051797,24.97,Google Laptop and Cell Phone Stickers,(not set),1.59,1
United States,ORD201608051798,193.44,1 oz Hand Sanitizer,(not set),1.59,3
United States,ORD201608051798,193.44,Pop-a-Point Crayon,(not set),1.59,2
United States,ORD201608051798,193.44,SPF-15 Lip Balm,(not set),2.0,2
United States,ORD201608051798,193.44,Electronics Accessory Pouch,(not set),3.99,1
United States,ORD201608051798,193.44,Google Sunglasses,(not set),2.8,1
United States,ORD201608051798,193.44,Google Sunglasses,(not set),2.8,1
United States,ORD201608051798,193.44,Google Sunglasses,(not set),2.8,1
United States,ORD201608051798,193.44,Google Sunglasses,(not set),2.8,1
United States,ORD201608051798,193.44,Maze Pen,(not set),0.79,3
United States,ORD201608051798,193.44,Ballpoint LED Light Pen,(not set),2.0,1
United States,ORD201608051798,193.44,Colored Pencil Set,(not set),2.39,2
United States,ORD201608051798,193.44,Quatro Retractable Pen,(not set),2.39,1
United States,ORD201608051798,193.44,Eco-Aware Recycled Journal Combo,(not set),3.19,1
United States,ORD201608051798,193.44,Red Spiral Google Notebook,(not set),7.99,1
United States,ORD201608051798,193.44,Pen Pencil & Highlighter Set,(not set),3.19,2
United States,ORD201608051798,193.44,22 oz Mini Mountain Bottle,(not set),2.39,2
United States,ORD201608051798,193.44,Koozie Can Kooler,(not set),1.59,1
United States,ORD201608051798,193.44,Compact Eco Journal,(not set),2.8,1
United States,ORD201608051798,193.44,Color Changing Grip Pen,(not set),1.2,2
United States,ORD201608051798,193.44,Google Women's Convertible Vest-Jacket Sea Foam Green,(not set),79.19,1
United States,ORD201608051798,193.44,Google Women's Short Sleeve Hero Tee Red Heather,(not set),15.19,1
United States,ORD201608051798,193.44,Google Laptop and Cell Phone Stickers,(not set),1.59,1
United States,ORD201608051798,193.44,Google Canvas Tote Natural/Navy,(not set),12.79,1
United States,ORD201608051798,193.44,Google Women's Short Sleeve Shirt Blue,(not set),15.19,1
United States,ORD201608051798,193.44,Recycled Mouse Pad,(not set),1.2,1
United States,ORD201608051798,193.44,22 oz Android Bottle,(not set),3.19,1
United States,ORD201608051798,193.44,8 pc Android Sticker Sheet,(not set),1.59,1
United States,ORD201608051798,193.44,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD201608051801,79.56,Google Long Sleeve Raglan Badge Henley Ocean Blue,(not set),16.79,1
United States,ORD201608051801,79.56,Google Men's Vintage Badge Tee Green,(not set),13.59,1
United States,ORD201608051801,79.56,Google Women's Short Sleeve Performance Tee Navy,(not set),17.59,1
United States,ORD201608051801,79.56,YouTube Men's Long Sleeve Pullover Badge Tee Heather,(not set),29.59,1
United States,ORD201608051803,64.72,Badge Holder,(not set),1.99,1
United States,ORD201608051803,64.72,Bic Intensity Clic Gel Pen,(not set),3.5,1
United States,ORD201608051803,64.72,Android 24 oz Contigo Addison,(not set),23.99,1
United States,ORD201608051803,64.72,Android 24 oz Contigo Addison,(not set),23.99,1
